time,TMP_1D5maboveground,RH_1D5maboveground,APCP_surface,DSWRF_surface,latitude,longitude
2024-04-01 07:00:00,279.3166657373437,42.64087649427579,0.0,253.20457331321776,43.804078,143.897185
2024-04-01 08:00:00,277.87306387210936,48.725971800789246,0.0,122.37913065735,43.804078,143.897185
2024-04-01 09:00:00,276.25664360959684,52.798138023253685,0.0,23.482578378482188,43.804078,143.897185
2024-04-01 10:00:00,274.90912848223127,51.80256224644086,0.0,0.0,43.804078,143.897185
2024-04-01 11:00:00,273.9984922031406,56.88835722843648,0.0,0.0,43.804078,143.897185
2024-04-01 12:00:00,273.1688058203125,60.51124180571689,0.0,0.0,43.804078,143.897185
2024-04-01 13:00:00,272.7062987775187,63.00872473716577,0.0,0.0,43.804078,143.897185
2024-04-01 14:00:00,272.28868735037184,64.22221573839857,0.0010793153562499,0.0,43.804078,143.897185
2024-04-01 15:00:00,271.79690232339374,64.72747953320584,0.0017092372312498,0.0,43.804078,143.897185
2024-04-01 16:00:00,271.1042460827469,65.1756827630265,0.0,0.0,43.804078,143.897185
2024-04-01 17:00:00,270.5356532827438,67.66232196171006,0.0,0.0,43.804078,143.897185
2024-04-01 18:00:00,270.19355673431255,69.29563614293589,0.0,0.0,43.804078,143.897185
2024-04-01 19:00:00,269.96731623080314,70.815003754382,0.0,0.0,43.804078,143.897185
2024-04-01 20:00:00,269.83875739837504,72.75908275940304,0.0,0.0,43.804078,143.897185
2024-04-01 21:00:00,270.18143189916884,72.66450563740847,0.0,30.359807002699984,43.804078,143.897185
2024-04-01 22:00:00,272.5688026093282,65.12741116436938,0.0,164.30739084423598,43.804078,143.897185
2024-04-01 23:00:00,275.84906298910624,55.61193733265916,0.0,340.9830105909314,43.804078,143.897185
2024-04-02 00:00:00,276.8800926404812,52.0415869974173,0.00031859375,465.0122372408307,43.804078,143.897185
2024-04-02 07:00:00,277.8310391984719,47.97533661826926,0.0,264.47963939363643,43.804078,143.897185
2024-04-02 08:00:00,276.99346210705625,49.89708942911929,0.0,139.10356795031075,43.804078,143.897185
2024-04-02 09:00:00,275.5881319115375,56.07272487133143,0.0,26.445725521178876,43.804078,143.897185
2024-04-02 10:00:00,274.1272685269625,62.79183036950096,0.0,0.0,43.804078,143.897185
2024-04-02 11:00:00,272.96425494045315,67.43851490766231,0.0,0.0,43.804078,143.897185
2024-04-02 12:00:00,271.98859763671874,69.52005081393675,0.0,0.0,43.804078,143.897185
2024-04-02 13:00:00,271.0893791109157,72.3737731691468,0.0,0.0,43.804078,143.897185
2024-04-02 14:00:00,270.47927878550627,73.89973337993271,0.0,0.0,43.804078,143.897185
2024-04-02 15:00:00,270.08709518778755,75.15306806824681,0.0,0.0,43.804078,143.897185
2024-04-02 16:00:00,269.82346632093436,75.51579446401794,0.0,0.0,43.804078,143.897185
2024-04-02 17:00:00,269.5254870958969,75.19336106768748,0.0,0.0,43.804078,143.897185
2024-04-02 18:00:00,269.1091645719344,74.02763613605761,0.0,0.0,43.804078,143.897185
2024-04-02 19:00:00,268.94455907115633,72.4195129213498,0.0,0.0,43.804078,143.897185
2024-04-02 20:00:00,268.85050624247503,72.17009974487962,0.0,0.0,43.804078,143.897185
2024-04-02 21:00:00,269.52009689308755,70.11078360705065,0.0,37.20341088710008,43.804078,143.897185
2024-04-02 22:00:00,271.96714181285006,61.70859989771864,0.0,189.65843555267216,43.804078,143.897185
2024-04-02 23:00:00,274.97816282888755,53.27997098953466,0.0,362.60909533154137,43.804078,143.897185
2024-04-03 00:00:00,277.61410505470315,45.01147162646872,0.0,518.2214226138881,43.804078,143.897185
2024-04-03 07:00:00,281.98779451548126,38.67139147379691,0.0,366.9462447553688,43.804078,143.897185
2024-04-03 08:00:00,280.24396348504047,49.796287056139654,0.0,177.1845211857875,43.804078,143.897185
2024-04-03 09:00:00,277.73456722246556,61.76306770124854,0.0,30.566805001708424,43.804078,143.897185
2024-04-03 10:00:00,276.14695690818746,74.26737440093119,0.0,0.0,43.804078,143.897185
2024-04-03 11:00:00,275.2453342442843,73.48541895054224,0.0,0.0,43.804078,143.897185
2024-04-03 12:00:00,274.5400510822063,73.72019624241948,0.0,0.0,43.804078,143.897185
2024-04-03 13:00:00,273.9816276554251,73.1812591806242,0.0,0.0,43.804078,143.897185
2024-04-03 14:00:00,273.3493671539,73.254270626171,0.0,0.0,43.804078,143.897185
2024-04-03 15:00:00,272.59523163619366,74.54998874255364,0.0,0.0,43.804078,143.897185
2024-04-03 16:00:00,271.15806532218744,82.4796964614784,0.0,0.0,43.804078,143.897185
2024-04-03 17:00:00,270.7251148890218,83.76182727170183,0.0,0.0,43.804078,143.897185
2024-04-03 18:00:00,270.5169765018437,82.86732547364552,0.0,0.0,43.804078,143.897185
2024-04-03 19:00:00,270.2398259135094,82.38835487594702,0.0,0.0,43.804078,143.897185
2024-04-03 20:00:00,269.9690540676,81.43548386723364,0.0,0.0,43.804078,143.897185
2024-04-03 21:00:00,270.30893689826564,79.05286135625306,0.0,37.54026243280004,43.804078,143.897185
2024-04-03 22:00:00,272.52977276823134,68.5576503309623,0.0,184.97993608489853,43.804078,143.897185
2024-04-03 23:00:00,275.4924379559688,57.207884692517965,0.0,372.01251173150325,43.804078,143.897185
2024-04-04 00:00:00,278.6093514119188,51.40733409513165,0.0,537.2400074794878,43.804078,143.897185
2024-04-04 07:00:00,278.13139065669384,48.81362376102656,0.0,197.39830820457544,43.804078,143.897185
2024-04-04 08:00:00,277.53016850258757,49.462858474673865,0.0,65.6188121182713,43.804078,143.897185
